ArchiveDate,Adult_Child,Speciality,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
30/09/2021,Child,Paediatric ENT,170,94,70,150,484
30/09/2021,Child,Paediatric Neurology,12,6,6,9,33
30/09/2021,Child,Paediatric Neurosurgery,16,11,6,4,37
30/09/2021,Child,Paediatric Radiology,8,10,6,21,45
30/09/2021,Child,Paediatric Respiratory Medicine,362,293,142,288,"1,085"
30/09/2021,Child,Paediatric Surgery,228,123,28,58,437
30/09/2021,Child,Paediatric Urology,76,109,30,108,323
30/09/2021,Child,Paediatrics,53,9,10,18,90
30/09/2021,Child,Plastic Surgery,162,92,34,77,365
30/09/2021,Child,Rheumatology,14,4,2,38,58
30/09/2021,Child,Small Volume Specialties,42,14,12,16,84
30/09/2021,Child,Urology,135,58,37,84,314
28/10/2021,Adult,Anaesthetics,235,14,0,2,251
28/10/2021,Adult,Breast Surgery,80,43,10,41,175
28/10/2021,Adult,Cardio-Thoracic Surgery,228,30,13,49,320
28/10/2021,Adult,Cardiology,"2,205",779,213,223,"3,420"
28/10/2021,Adult,Clinical Immunology,122,35,0,18,175
28/10/2021,Adult,Dental Surgery,26,13,6,7,53
28/10/2021,Adult,Dermatology,814,117,44,127,"1,102"
28/10/2021,Adult,Endocrinology,8,14,6,14,43
28/10/2021,Adult,Gastro-Enterology,257,98,60,106,521
28/10/2021,Adult,Gastro-Intestinal Surgery,185,79,19,163,446
28/10/2021,Adult,General Medicine,222,74,32,21,350
28/10/2021,Adult,General Surgery,"7,263","2,081",991,"1,915","12,250"
28/10/2021,Adult,Geriatric Medicine,36,10,12,8,66
28/10/2021,Adult,Gynaecology,"3,018","1,007",457,885,"5,367"
28/10/2021,Adult,Haematology,26,4,0,0,30
28/10/2021,Adult,Hepato-Biliary Surgery,21,4,6,45,77
28/10/2021,Adult,Maxillo-Facial,241,128,31,247,647
28/10/2021,Adult,Nephrology,63,8,0,2,73
28/10/2021,Adult,Neurology,287,30,13,55,386
28/10/2021,Adult,Neurosurgery,303,152,65,73,594
28/10/2021,Adult,Oncology,99,4,2,2,108
28/10/2021,Adult,Ophthalmology,"5,285","1,214",344,868,"7,711"
28/10/2021,Adult,Oral Surgery,149,134,68,115,466
28/10/2021,Adult,Orthopaedics,"5,397","1,805",774,"1,780","9,756"
28/10/2021,Adult,Otolaryngology (ENT),"1,789",527,272,720,"3,308"
28/10/2021,Adult,Pain Relief,"2,658",958,505,803,"4,924"
28/10/2021,Adult,Plastic Surgery,"2,059",760,355,889,"4,063"
28/10/2021,Adult,Radiology,16,7,10,0,33
28/10/2021,Adult,Respiratory Medicine,338,50,9,79,476
28/10/2021,Adult,Rheumatology,181,70,32,67,351
28/10/2021,Adult,Small Volume Specialties,11,2,2,2,17
28/10/2021,Adult,Urology,"4,479","1,501",878,"1,556","8,414"
28/10/2021,Adult,Vascular Surgery,802,199,82,235,"1,318"
28/10/2021,Child,Cardio-Thoracic Surgery,65,9,0,0,74
28/10/2021,Child,Clinical Immunology,124,33,4,10,171
28/10/2021,Child,Dental Surgery,108,50,32,69,258
28/10/2021,Child,General Surgery,181,24,19,20,243
28/10/2021,Child,Immunology,49,36,4,10,99
28/10/2021,Child,Maxillo-Facial,54,12,10,21,97
28/10/2021,Child,Ophthalmology,271,165,70,105,610
28/10/2021,Child,Oral Surgery,12,8,6,7,33
28/10/2021,Child,Orthopaedics,240,57,27,40,364
28/10/2021,Child,Otolaryngology (ENT),227,69,25,79,400
28/10/2021,Child,Paed Cardiology,113,44,21,32,210
28/10/2021,Child,Paed Endocrinology,25,9,6,16,55
28/10/2021,Child,Paed Metabolic Medicine,21,4,0,2,26
28/10/2021,Child,Paed Orthopaedic,459,260,132,348,"1,199"
28/10/2021,Child,Paediatric Dermatology,33,22,10,2,66
28/10/2021,Child,Paediatric ENT,178,83,81,150,492
28/10/2021,Child,Paediatric Neurology,12,7,6,9,34
28/10/2021,Child,Paediatric Neurosurgery,20,11,6,4,40
28/10/2021,Child,Paediatric Radiology,10,12,6,22,49
28/10/2021,Child,Paediatric Respiratory Medicine,460,354,140,281,"1,234"
28/10/2021,Child,Paediatric Surgery,225,113,33,42,413
28/10/2021,Child,Paediatric Urology,82,99,35,103,319
28/10/2021,Child,Paediatrics,58,17,10,18,102
28/10/2021,Child,Plastic Surgery,193,78,36,68,375
28/10/2021,Child,Rheumatology,6,6,4,26,41
28/10/2021,Child,Small Volume Specialties,49,19,9,17,94
28/10/2021,Child,Urology,120,46,32,75,273
25/11/2021,Adult,Anaesthetics,259,31,0,2,292
25/11/2021,Adult,Breast Surgery,87,27,16,38,168
25/11/2021,Adult,Cardio-Thoracic Surgery,226,31,17,37,311
25/11/2021,Adult,Cardiology,"2,295",721,260,223,"3,499"
25/11/2021,Adult,Clinical Immunology,126,2,0,18,146
25/11/2021,Adult,Dental Surgery,38,16,8,7,69
25/11/2021,Adult,Dermatology,893,116,59,109,"1,177"
25/11/2021,Adult,Endocrinology,7,9,13,14,43
25/11/2021,Adult,Gastro-Enterology,272,94,59,93,518
25/11/2021,Adult,Gastro-Intestinal Surgery,196,85,33,165,479
25/11/2021,Adult,General Medicine,240,69,38,18,365
25/11/2021,Adult,General Surgery,"7,719","2,044",979,"1,846","12,588"
25/11/2021,Adult,Geriatric Medicine,29,11,12,7,59
25/11/2021,Adult,Gynaecology,"3,135","1,000",498,774,"5,407"
25/11/2021,Adult,Hepato-Biliary Surgery,19,10,6,47,82
25/11/2021,Adult,Maxillo-Facial,284,146,36,244,710
25/11/2021,Adult,Nephrology,57,11,2,2,72
25/11/2021,Adult,Neurology,317,21,14,57,409
25/11/2021,Adult,Neurosurgery,345,145,64,64,618
25/11/2021,Adult,Oncology,63,0,2,2,67
25/11/2021,Adult,Ophthalmology,"5,677","1,066",377,741,"7,861"
25/11/2021,Adult,Oral Surgery,152,132,64,107,455
25/11/2021,Adult,Orthopaedics,"5,492","1,624",850,"1,708","9,674"
25/11/2021,Adult,Otolaryngology (ENT),"1,997",470,276,667,"3,410"
25/11/2021,Adult,Pain Relief,"2,601",910,632,703,"4,846"
25/11/2021,Adult,Plastic Surgery,"2,284",744,391,837,"4,256"
25/11/2021,Adult,Radiology,21,9,9,0,39
25/11/2021,Adult,Respiratory Medicine,459,48,13,74,594
25/11/2021,Adult,Rheumatology,254,56,27,50,387
25/11/2021,Adult,Small Volume Specialties,27,4,2,2,34
25/11/2021,Adult,Urology,"4,755","1,256",764,"1,362","8,137"
25/11/2021,Adult,Vascular Surgery,835,179,98,205,"1,317"
25/11/2021,Child,Cardio-Thoracic Surgery,68,6,0,0,74
25/11/2021,Child,Clinical Immunology,116,23,7,8,154
25/11/2021,Child,Dental Surgery,111,51,36,63,261
25/11/2021,Child,General Surgery,216,27,20,19,282
25/11/2021,Child,Immunology,55,37,7,9,108
25/11/2021,Child,Maxillo-Facial,48,23,13,16,100
25/11/2021,Child,Ophthalmology,304,158,66,87,615
25/11/2021,Child,Oral Surgery,11,7,7,7,32
25/11/2021,Child,Orthopaedics,272,59,25,35,391
25/11/2021,Child,Otolaryngology (ENT),291,58,25,61,435
25/11/2021,Child,Paed Cardiology,105,35,20,31,191
25/11/2021,Child,Paed Endocrinology,32,10,6,18,66
25/11/2021,Child,Paed Metabolic Medicine,21,4,0,2,27
25/11/2021,Child,Paed Orthopaedic,463,239,142,311,"1,155"
25/11/2021,Child,Paediatric Dermatology,34,23,9,2,68
25/11/2021,Child,Paediatric ENT,224,89,84,153,550
25/11/2021,Child,Paediatric Neurology,8,6,6,9,28
25/11/2021,Child,Paediatric Neurosurgery,22,9,4,7,42
25/11/2021,Child,Paediatric Radiology,9,15,6,22,52
